Time,EcoregionName,EcoregionIndex,NumSites,NEEC,SOMTC,AGB,AG_NPPC,BG_NPPC,Litterfall,AgeMortality,MineralN,TotalN,GrossMineralization,C_Leaf,C_FRoot,C_Wood,C_CRoot,C_DeadWood,C_DeadCRoot,C_DeadLeaf_Struc,C_DeadLeaf_Meta,C_DeadFRoot_Struc,C_DeadFRoot_Meta,C_SOM1surf,C_SOM1soil,C_SOM2,C_SOM3,N_Leaf,N_FRoot,N_Wood,N_CRoot,N_DeadWood,N_DeadCRoot,N_DeadLeaf_Struc,N_DeadLeaf_Meta,N_DeadFRoot_Struc,N_DeadFRoot_Meta,N_SOM1surf,N_SOM1soil,N_SOM2,N_SOM3,SurfStrucNetMin,SurfMetaNetMin,SoilStrucNetMin,SoilMetaNetMin,SOM1surfNetMin,SOM1soilNetMin,SOM2NetMin,SOM3NetMin,TotalNdep,StreamC,StreamN,FireCEfflux,FireNEfflux,Nuptake,Nresorbed,TotalSoilN,Nvol,FrassC,
0, MN101, 0, 1881, 0, 17164.4, 17799.7, 2.6, 0.8, 0.9, 1.5, 213.8, 1152.5, 0.1, 283, 99, 8085.4, 2021.4, 450.6, 145.8, 27, 5, 23.9, 0.9, 785.5, 3363.3, 11972.8, 1042.8, 7.5, 2.5, 21.1, 32.1, 1.2, 2.4, 0.2, 0.3, 0.1, 0.1, 21, 361.9, 391.7, 96.8, 0.2, -1.1, 0.1, -0.3, 5.7, 9.3, -7.8, 0, 4.97, 0, 0, 0, 0, 0, 0, 1085.9, 0.01, 0, 
0, MN102, 1, 7920, 0, 15394.7, 18680.9, 0.6, 0.2, 0.2, 0.4, 140, 930.6, 0, 150.4, 52.6, 8632, 2158, 451.5, 165.4, 20.9, 3.3, 25.8, 0.5, 818, 2947.8, 10742.4, 886.5, 5, 1.5, 24.2, 35.3, 1.3, 2.8, 0.1, 0.2, 0.1, 0.1, 19.9, 311.5, 319.2, 69.4, 0.2, -1, 0.1, 0, 5.4, 7.9, -7.9, 0, 1.18, 0, 0, 0, 0, 0, 0, 860.6, 0, 0, 
5, MN101, 0, 1881, -158.3, 17571, 18713.3, 717.1, 206, 267.5, 380.9, 213.71, 1174.8, 28.1, 300, 105, 8498, 2124.5, 449.4, 148.2, 26.8, 4.7, 24.7, 0.8, 817.1, 3440.2, 12258.8, 1054.9, 8.1, 2.6, 22.1, 34, 1.2, 2.5, 0.2, 0.3, 0.1, 0.1, 21.9, 370, 399, 98.9, 0.2, -1.1, 0.1, -0.2, 5.9, 9.6, -8, 0, 39.95, 0.21, 0.81, 0, 0, 11.7, 5, 1104.2, 2.54, 0, 
5, MN102, 1, 7920, -203.3, 15933.7, 19737.3, 747.3, 212, 253.4, 417.6, 138.49, 958.2, 25.5, 163.4, 57.2, 9115.5, 2278.9, 456.9, 169.1, 20.7, 3, 26.3, 0.4, 852.1, 3053.7, 11130.6, 897.3, 5.5, 1.6, 25.5, 37.5, 1.3, 2.9, 0.1, 0.2, 0.1, 0.1, 21, 322.8, 329.8, 71.3, 0.2, -1, 0.1, 0.1, 5.7, 8.2, -8.2, 0, 39.95, 0.19, 0.52, 0, 0, 11.9, 6.1, 883.9, 1.62, 0, 
10, MN101, 0, 1881, -118.9, 17955.4, 19245.7, 695.9, 200, 260.4, 394.9, 216.51, 1197, 28.3, 299.8, 104.9, 8748.5, 2187.1, 464.9, 154.8, 26.6, 4.7, 23.7, 0.8, 833.4, 3515.5, 12539.2, 1067.3, 8.1, 2.6, 22.8, 35.2, 1.2, 2.6, 0.2, 0.3, 0.1, 0.1, 21.9, 377.7, 406.7, 101.1, 0.2, -1.1, 0.1, -0.3, 6, 9.7, -8.2, 0, 39.95, 0.22, 0.82, 0, 0, 11.4, 4.8, 1124.5, 2.57, 0, 
10, MN102, 1, 7920, -151.7, 16441.3, 20277, 719.1, 204.2, 243.9, 435.2, 140.79, 985.9, 25.9, 164.8, 57.7, 9367.7, 2341.9, 476.7, 177.4, 20.6, 3, 24.5, 0.4, 870.6, 3156.4, 11505.7, 908.5, 5.5, 1.6, 26.1, 38.6, 1.4, 3, 0.1, 0.2, 0.1, 0.1, 21, 333.5, 340.6, 73.3, 0.2, -0.9, 0.1, 0, 5.7, 8.5, -8.4, 0, 39.95, 0.2, 0.53, 0, 0, 11.5, 5.8, 909.7, 1.65, 0, 
15, MN101, 0, 1881, -96.1, 18332.9, 19578, 688.5, 198, 258.9, 405, 219.52, 1218.7, 28.6, 298.8, 104.6, 8905.2, 2226.3, 476.5, 159.9, 26.6, 4.7, 23.4, 0.8, 848.6, 3590.8, 12813.6, 1080, 8, 2.6, 23.1, 36, 1.3, 2.7, 0.2, 0.3, 0.1, 0.1, 21.9, 385.3, 414.4, 103.3, 0.2, -1.1, 0.1, -0.2, 6, 9.9, -8.5, 0, 39.95, 0.22, 0.83, 0, 0, 11.4, 4.8, 1145.1, 2.61, 0, 
15, MN102, 1, 7920, -133.7, 16947.7, 20623.5, 721.7, 205, 247, 449.3, 142.85, 1012.9, 26.6, 163.1, 57.1, 9532.3, 2383.1, 492.5, 183.8, 21, 3.1, 24.5, 0.4, 892.8, 3260, 11874.8, 920.2, 5.4, 1.5, 26.4, 39.3, 1.4, 3.2, 0.1, 0.2, 0.1, 0.1, 21.4, 344.1, 351.6, 75.3, 0.2, -1, 0.1, 0.1, 5.8, 8.8, -8.7, 0, 39.95, 0.2, 0.54, 0, 0, 11.8, 5.8, 935.7, 1.68, 0, 
20, MN101, 0, 1881, -59.4, 18685.2, 19687.6, 663.9, 191.1, 250.5, 409.7, 222.88, 1239.7, 28.7, 299, 104.6, 8956.7, 2239.2, 483.1, 162.9, 26.2, 4.6, 21.9, 0.8, 855.5, 3663.2, 13073.4, 1093, 8, 2.6, 23.2, 36.2, 1.3, 2.7, 0.1, 0.3, 0.1, 0.1, 21.7, 392.7, 422.3, 105.6, 0.2, -1, 0.1, -0.3, 5.9, 10.1, -8.7, 0, 39.95, 0.23, 0.84, 0, 0, 11, 4.5, 1165.7, 2.65, 0, 
20, MN102, 1, 7920, -74.9, 17417.1, 20649.4, 679.9, 193.4, 232.4, 454.9, 145.53, 1038.7, 26.7, 163.4, 57.2, 9544.3, 2386.1, 501.2, 187.6, 20.4, 3, 21.7, 0.4, 901.6, 3359.1, 12224.2, 932.2, 5.4, 1.5, 26.3, 39.1, 1.4, 3.2, 0.1, 0.2, 0.1, 0.1, 21.2, 354.2, 362.9, 77.4, 0.2, -0.9, 0.1, -0.1, 5.8, 8.9, -9, 0, 39.95, 0.21, 0.55, 0, 0, 11.1, 5.4, 961.7, 1.71, 0, 
