Time,Month,EcoregionName,EcoregionIndex,NumSites,ppt,airtemp,avgNPPtc,avgResp,avgNEE,Ndep,StreamN,
5, 7, MN101, 0, 1881, 10.9, 28.6, 117.87, 73.62, -44.26, 1.02, 0, 
5, 7, MN102, 1, 7920, 10.9, 28.6, 122.72, 70.64, -52.08, 1.02, 0, 
5, 8, MN101, 0, 1881, 9.9, 27.3, 133.65, 83.75, -49.9, 0.94, 0, 
5, 8, MN102, 1, 7920, 9.9, 27.3, 138.11, 80.05, -58.06, 0.94, 0, 
5, 9, MN101, 0, 1881, 8.9, 22.2, 184.67, 137.91, -46.76, 0.86, 0, 
5, 9, MN102, 1, 7920, 8.9, 22.2, 195.63, 142.57, -53.06, 0.86, 0, 
5, 10, MN101, 0, 1881, 6.5, 16, 141.19, 91.86, -49.34, 0.66, 0, 
5, 10, MN102, 1, 7920, 6.5, 16, 172.64, 93.74, -78.91, 0.66, 0, 
5, 11, MN101, 0, 1881, 4.3, 6.9, 4.24, 41.31, 37.07, 0.49, 0, 
5, 11, MN102, 1, 7920, 4.3, 6.9, 1.63, 43.23, 41.59, 0.49, 0, 
5, 12, MN101, 0, 1881, 3.1, -1.4, 0, 1, 1, 0.4, 0, 
5, 12, MN102, 1, 7920, 3.1, -1.4, 0, 1, 1, 0.4, 0, 
5, 1, MN101, 0, 1881, 3, -4.9, 0, 0.84, 0.84, 0.38, 0, 
5, 1, MN102, 1, 7920, 3, -4.9, 0, 0.83, 0.83, 0.38, 0, 
5, 2, MN101, 0, 1881, 2.6, -2.2, 0, 1.02, 1.02, 0.35, 0, 
5, 2, MN102, 1, 7920, 2.6, -2.2, 0, 1, 1, 0.35, 0, 
5, 3, MN101, 0, 1881, 3.7, 5, 3.05, 34.99, 31.94, 0.44, 0, 
5, 3, MN102, 1, 7920, 3.7, 5, 1.16, 34.86, 33.7, 0.44, 0, 
5, 4, MN101, 0, 1881, 5.7, 13.8, 36.35, 81.52, 45.17, 0.61, 0.54, 
5, 4, MN102, 1, 7920, 5.7, 13.8, 18.92, 78.73, 59.81, 0.61, 0.35, 
5, 5, MN101, 0, 1881, 8.4, 20.5, 144.46, 112.92, -31.54, 0.82, 0.27, 
5, 5, MN102, 1, 7920, 8.4, 20.5, 143.2, 108.84, -34.36, 0.82, 0.17, 
5, 6, MN101, 0, 1881, 10.9, 25.7, 157.55, 104.02, -53.53, 1.02, 0, 
5, 6, MN102, 1, 7920, 10.9, 25.7, 165.3, 100.53, -64.77, 1.02, 0, 
10, 7, MN101, 0, 1881, 10.9, 28.6, 115.27, 75.39, -39.88, 1.02, 0, 
10, 7, MN102, 1, 7920, 10.9, 28.6, 120.01, 72.91, -47.11, 1.02, 0, 
10, 8, MN101, 0, 1881, 9.9, 27.3, 130.56, 85.83, -44.73, 0.94, 0, 
10, 8, MN102, 1, 7920, 9.9, 27.3, 134.8, 82.74, -52.06, 0.94, 0, 
10, 9, MN101, 0, 1881, 8.9, 22.2, 178.45, 139.01, -39.44, 0.86, 0, 
10, 9, MN102, 1, 7920, 8.9, 22.2, 186.26, 144.22, -42.04, 0.86, 0, 
10, 10, MN101, 0, 1881, 6.5, 16, 133.19, 92.89, -40.29, 0.66, 0, 
10, 10, MN102, 1, 7920, 6.5, 16, 158.04, 95.1, -62.94, 0.66, 0, 
10, 11, MN101, 0, 1881, 4.3, 6.9, 4.28, 41.64, 37.36, 0.49, 0, 
10, 11, MN102, 1, 7920, 4.3, 6.9, 1.68, 43.54, 41.86, 0.49, 0, 
10, 12, MN101, 0, 1881, 3.1, -1.4, 0, 1.01, 1.01, 0.4, 0, 
10, 12, MN102, 1, 7920, 3.1, -1.4, 0, 1.02, 1.02, 0.4, 0, 
10, 1, MN101, 0, 1881, 3, -4.9, 0, 0.85, 0.85, 0.38, 0, 
10, 1, MN102, 1, 7920, 3, -4.9, 0, 0.84, 0.84, 0.38, 0, 
10, 2, MN101, 0, 1881, 2.6, -2.2, 0, 1.03, 1.03, 0.35, 0, 
10, 2, MN102, 1, 7920, 2.6, -2.2, 0, 1.02, 1.02, 0.35, 0, 
10, 3, MN101, 0, 1881, 3.7, 5, 3.05, 35.4, 32.34, 0.44, 0, 
10, 3, MN102, 1, 7920, 3.7, 5, 1.18, 35.31, 34.13, 0.44, 0, 
10, 4, MN101, 0, 1881, 5.7, 13.8, 36.13, 82.73, 46.6, 0.61, 0.55, 
10, 4, MN102, 1, 7920, 5.7, 13.8, 18.81, 80.19, 61.38, 0.61, 0.36, 
10, 5, MN101, 0, 1881, 8.4, 20.5, 140.08, 114.99, -25.09, 0.82, 0.27, 
10, 5, MN102, 1, 7920, 8.4, 20.5, 138.73, 111.41, -27.32, 0.82, 0.17, 
10, 6, MN101, 0, 1881, 10.9, 25.7, 154.92, 106.29, -48.64, 1.02, 0, 
10, 6, MN102, 1, 7920, 10.9, 25.7, 163.85, 103.42, -60.43, 1.02, 0, 
15, 7, MN101, 0, 1881, 10.9, 28.6, 114.96, 77, -37.96, 1.02, 0, 
15, 7, MN102, 1, 7920, 10.9, 28.6, 122.64, 75.16, -47.48, 1.02, 0, 
15, 8, MN101, 0, 1881, 9.9, 27.3, 130.72, 87.67, -43.05, 0.94, 0, 
15, 8, MN102, 1, 7920, 9.9, 27.3, 138.75, 85.26, -53.49, 0.94, 0, 
