Time,InitRow,InitColumn,TotalSites,DamagedSites,CohortsKilled,MeanSeverity,
5, 16, 37, 285, 284, 208, 2, 
5, 40, 99, 153, 153, 216, 2, 
5, 71, 84, 76, 76, 58, 2, 
10, 1, 52, 31, 20, 7, 2.6, 
10, 3, 35, 254, 254, 2996, 5, 
10, 28, 6, 37, 37, 237, 3, 
15, 50, 53, 92, 88, 37, 2.78, 
15, 52, 12, 103, 103, 257, 2, 
15, 76, 88, 68, 67, 62, 2, 
15, 95, 5, 180, 180, 82, 2, 
20, 5, 65, 23, 23, 35, 3, 
20, 7, 98, 81, 81, 99, 2.99, 
20, 26, 32, 108, 108, 388, 3, 
20, 41, 11, 200, 200, 710, 2, 
20, 75, 83, 6, 5, 14, 3, 
20, 80, 20, 25, 0, 0, 0, 
25, 6, 93, 88, 88, 27, 2, 
25, 10, 70, 191, 0, 0, 0, 
25, 68, 30, 29, 29, 615, 5, 
30, 1, 10, 21, 21, 149, 3, 
30, 37, 85, 53, 49, 143, 3, 
30, 43, 77, 22, 22, 32, 2, 
30, 52, 43, 398, 397, 618, 3, 
30, 70, 72, 227, 0, 0, 0, 
30, 78, 66, 113, 74, 18, 1, 
